[Header]
Measurement mode,Live Time
Measurement time,300
Real time,300
Live time,300
Dead time,0
Start Time,2026/05/19 15:55:39
End Time,2026/05/19 16:00:39
//CH#,ADG,THR,LLD,ULD,OFS
CH1,5,17,0,511,0
MOD,0
MMD,1
MTM,300
PDS,1
CursorX,0,0

[Calculation]
//ROI No.,ROI start(ch),ROI end(ch),energy(ch),fitting,peak(ch),centroid(ch),peak(count),gross(count),gross(cps),net(count),net(cps),FWHM(ch),FWHM(%),FWHM(keV),FWTM(ch)
ROI1,131,164,511,0,147,146.47,399,3424,11.413,3384.333,11.281,8.038,5.468,27.941,51.762
ROI0,391,64,511,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,210,320,1173,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,390,435,1332,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,180,300,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,225,300,2,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,86,191,2,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,376,449,0,0,0,0,0,0,0,0,0,0,0,0,0

[Status]
//CH,throughput count,throughput rate(cps)
CH1,3520,9

[Data]
//ch,CH1
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,1
34,0
35,0
36,0
37,0
38,1
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,0
64,0
65,1
66,0
67,0
68,1
69,1
70,0
71,0
72,0
73,0
74,0
75,1
76,0
77,0
78,1
79,0
80,1
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,1
94,1
95,0
96,2
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,2
109,0
110,0
111,1
112,0
113,0
114,1
115,1
116,0
117,0
118,0
119,2
120,0
121,0
122,0
123,1
124,0
125,1
126,0
127,0
128,2
129,4
130,1
131,3
132,1
133,1
134,4
135,11
136,11
137,13
138,16
139,44
140,66
141,99
142,172
143,247
144,270
145,367
146,372
147,399
148,388
149,283
150,234
151,154
152,109
153,64
154,43
155,20
156,15
157,7
158,2
159,3
160,2
161,1
162,3
163,0
164,0
165,2
166,0
167,1
168,1
169,1
170,0
171,0
172,0
173,3
174,2
175,1
176,2
177,1
178,0
179,0
180,0
181,0
182,0
183,1
184,1
185,0
186,0
187,0
188,0
189,0
190,1
191,1
192,0
193,0
194,1
195,0
196,0
197,0
198,0
199,1
200,0
201,1
202,0
203,0
204,0
205,0
206,0
207,0
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,2
216,0
217,1
218,0
219,1
220,1
221,0
222,1
223,1
224,0
225,0
226,0
227,0
228,1
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,1
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,1
255,0
256,0
257,0
258,0
259,1
260,0
261,0
262,1
263,0
264,1
265,0
266,0
267,0
268,0
269,0
270,1
271,0
272,0
273,0
274,0
275,1
276,0
277,0
278,0
279,0
280,0
281,1
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,1
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,2
303,0
304,0
305,1
306,0
307,0
308,1
309,0
310,0
311,0
312,2
313,1
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,1
322,1
323,0
324,0
325,0
326,0
327,0
328,1
329,0
330,0
331,0
332,1
333,0
334,0
335,2
336,1
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,1
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,1
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,1
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,1
410,0
411,1
412,0
413,0
414,0
415,0
416,1
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,1
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,1
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,1
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,1
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,1
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
