[Header]
Measurement mode,Live Time
Measurement time,300
Real time,300
Live time,300
Dead time,0
Start Time,2026/05/19 17:43:56
End Time,2026/05/19 17:48:57
//CH#,ADG,THR,LLD,ULD,OFS
CH1,5,17,0,511,0
MOD,0
MMD,1
MTM,300
PDS,1
CursorX,0,0

[Calculation]
//ROI No.,ROI start(ch),ROI end(ch),energy(ch),fitting,peak(ch),centroid(ch),peak(count),gross(count),gross(cps),net(count),net(cps),FWHM(ch),FWHM(%),FWHM(keV),FWTM(ch)
ROI1,131,164,511,0,146,146.25,385,3252,10.84,3212.333,10.708,8.064,5.524,28.225,53.195
ROI0,391,64,511,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,210,320,1173,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,390,435,1332,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,180,300,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,225,300,2,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,86,191,2,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,376,449,0,0,0,0,0,0,0,0,0,0,0,0,0

[Status]
//CH,throughput count,throughput rate(cps)
CH1,3358,10

[Data]
//ch,CH1
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,0
40,1
41,0
42,0
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,0
59,0
60,0
61,0
62,1
63,1
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,1
84,0
85,0
86,1
87,0
88,1
89,0
90,0
91,0
92,1
93,1
94,0
95,0
96,1
97,1
98,1
99,0
100,1
101,1
102,0
103,0
104,0
105,0
106,0
107,1
108,1
109,1
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,0
121,0
122,0
123,0
124,2
125,2
126,1
127,0
128,4
129,1
130,1
131,1
132,3
133,4
134,6
135,3
136,4
137,10
138,20
139,45
140,86
141,112
142,178
143,246
144,292
145,334
146,385
147,343
148,318
149,281
150,210
151,149
152,85
153,57
154,33
155,26
156,7
157,4
158,4
159,3
160,1
161,1
162,0
163,1
164,0
165,1
166,1
167,3
168,1
169,2
170,1
171,3
172,0
173,0
174,0
175,0
176,1
177,0
178,1
179,0
180,0
181,1
182,1
183,0
184,1
185,0
186,0
187,1
188,1
189,0
190,1
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,2
199,0
200,0
201,0
202,2
203,0
204,0
205,0
206,0
207,1
208,0
209,1
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,1
221,0
222,0
223,2
224,0
225,0
226,1
227,0
228,1
229,0
230,0
231,2
232,1
233,0
234,0
235,0
236,0
237,1
238,0
239,0
240,0
241,0
242,0
243,1
244,0
245,0
246,0
247,0
248,1
249,1
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,1
261,0
262,1
263,1
264,0
265,0
266,0
267,1
268,0
269,0
270,0
271,0
272,0
273,1
274,0
275,1
276,0
277,0
278,0
279,0
280,1
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,1
291,0
292,0
293,0
294,1
295,0
296,0
297,0
298,1
299,0
300,0
301,0
302,0
303,1
304,0
305,0
306,1
307,0
308,0
309,0
310,1
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,1
319,0
320,1
321,0
322,0
323,0
324,0
325,0
326,0
327,1
328,0
329,0
330,0
331,0
332,0
333,1
334,0
335,0
336,0
337,0
338,0
339,1
340,0
341,0
342,0
343,1
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,1
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,1
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,1
380,0
381,1
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,1
414,1
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,1
430,2
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,1
449,0
450,0
451,0
452,0
453,0
454,0
455,1
456,0
457,0
458,0
459,1
460,0
461,0
462,1
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,1
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
