[Header]
Measurement mode,Live Time
Measurement time,300
Real time,107
Live time,100
Dead time,8
Start Time,2026/04/28 16:18:08
End Time,2026/04/28 16:19:56
//CH#,ADG,THR,LLD,ULD,OFS
CH1,5,33,1,511,0
MOD,0
MMD,1
MTM,300
PDS,1
CursorX,0,0

[Calculation]
//ROI No.,ROI start(ch),ROI end(ch),energy(ch),fitting,peak(ch),centroid(ch),peak(count),gross(count),gross(cps),net(count),net(cps),FWHM(ch),FWHM(%),FWHM(keV),FWTM(ch)
ROI1,164,184,511,1,176,174.56,71021.32,1143916,11439.156,397896.258,3978.963,13.858,7.874,40.236,73.331
ROI1,392,418,511,0,402,403.87,35,566,5.66,566,5.66,9.774,2.431,12.425,10.672
ROI0,210,320,1173,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,390,435,1332,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,180,300,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,225,300,2,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,86,191,2,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,376,449,0,0,0,0,0,0,0,0,0,0,0,0,0

[Status]
//CH,throughput count,throughput rate(cps)
CH1,5231306,48828

[Data]
//ch,CH1
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,26419
34,27435
35,31043
36,33455
37,35080
38,35958
39,37301
40,39129
41,40240
42,40888
43,41803
44,42454
45,42780
46,43628
47,44264
48,45355
49,46364
50,47520
51,48780
52,49951
53,51070
54,51472
55,52339
56,52273
57,51621
58,51419
59,50674
60,49254
61,48975
62,47423
63,46335
64,45311
65,44154
66,43113
67,41872
68,40906
69,40254
70,39378
71,38915
72,37607
73,36944
74,36505
75,35582
76,34517
77,34379
78,33540
79,33105
80,32438
81,32038
82,31561
83,31139
84,30596
85,30322
86,29863
87,29855
88,28784
89,28865
90,28439
91,28197
92,27838
93,27545
94,27451
95,27043
96,26966
97,26772
98,26777
99,26255
100,26240
101,25924
102,26108
103,25720
104,25729
105,25523
106,25367
107,24906
108,24740
109,24578
110,24555
111,24504
112,24469
113,24172
114,23529
115,23511
116,23400
117,23013
118,22589
119,22233
120,21562
121,20761
122,20164
123,19441
124,18721
125,17756
126,16959
127,15953
128,15310
129,14443
130,13725
131,13058
132,12735
133,12307
134,12000
135,11788
136,11315
137,11619
138,11370
139,11544
140,11325
141,11377
142,11603
143,11595
144,11944
145,11990
146,12209
147,12705
148,12873
149,13602
150,13857
151,14506
152,14767
153,15577
154,16756
155,17234
156,18277
157,19257
158,20553
159,22017
160,23290
161,24808
162,26907
163,29245
164,31578
165,34758
166,37757
167,41350
168,44983
169,49566
170,53524
171,57889
172,61584
173,65308
174,68388
175,69869
176,70891
177,70497
178,69207
179,65489
180,61582
181,56301
182,50677
183,44510
184,38023
185,32581
186,27273
187,22481
188,18094
189,14991
190,12036
191,9783
192,7909
193,6672
194,5571
195,4742
196,4312
197,3783
198,3433
199,3314
200,3074
201,3018
202,2902
203,2816
204,2691
205,2697
206,2655
207,2504
208,2606
209,2626
210,2476
211,2507
212,2521
213,2410
214,2379
215,2365
216,2300
217,2284
218,2302
219,2248
220,2221
221,2142
222,2203
223,2172
224,2108
225,2004
226,1998
227,2003
228,2042
229,1939
230,1868
231,1830
232,1828
233,1795
234,1824
235,1694
236,1660
237,1617
238,1634
239,1544
240,1612
241,1576
242,1459
243,1348
244,1434
245,1446
246,1325
247,1253
248,1294
249,1285
250,1240
251,1144
252,1114
253,1188
254,1145
255,1047
256,1089
257,1148
258,1062
259,1054
260,1030
261,990
262,1019
263,1014
264,949
265,929
266,922
267,872
268,888
269,869
270,860
271,812
272,792
273,811
274,835
275,774
276,777
277,748
278,788
279,761
280,715
281,715
282,698
283,723
284,678
285,670
286,629
287,684
288,638
289,638
290,632
291,594
292,604
293,606
294,555
295,482
296,554
297,556
298,488
299,494
300,478
301,482
302,499
303,491
304,413
305,447
306,434
307,447
308,495
309,445
310,415
311,405
312,409
313,447
314,356
315,385
316,388
317,366
318,416
319,386
320,463
321,405
322,415
323,400
324,362
325,409
326,384
327,371
328,414
329,420
330,398
331,403
332,413
333,384
334,369
335,414
336,374
337,412
338,433
339,385
340,381
341,434
342,406
343,435
344,417
345,424
346,414
347,403
348,393
349,381
350,360
351,378
352,343
353,298
354,332
355,300
356,247
357,271
358,231
359,226
360,211
361,166
362,168
363,129
364,136
365,121
366,93
367,84
368,102
369,73
370,58
371,64
372,60
373,40
374,48
375,61
376,45
377,36
378,42
379,28
380,32
381,36
382,33
383,35
384,41
385,24
386,34
387,31
388,27
389,28
390,39
391,35
392,28
393,30
394,18
395,29
396,24
397,21
398,24
399,24
400,17
401,14
402,35
403,32
404,13
405,19
406,21
407,18
408,21
409,22
410,20
411,14
412,17
413,20
414,22
415,12
416,21
417,20
418,10
419,16
420,19
421,15
422,8
423,13
424,14
425,13
426,10
427,4
428,9
429,18
430,7
431,9
432,10
433,16
434,5
435,16
436,14
437,18
438,9
439,9
440,6
441,9
442,5
443,9
444,13
445,4
446,12
447,7
448,12
449,7
450,9
451,10
452,8
453,9
454,9
455,9
456,8
457,14
458,10
459,10
460,8
461,7
462,8
463,4
464,6
465,3
466,5
467,4
468,10
469,4
470,5
471,4
472,7
473,1
474,6
475,4
476,4
477,4
478,2
479,4
480,1
481,4
482,3
483,3
484,2
485,2
486,1
487,3
488,2
489,2
490,1
491,2
492,1
493,9
494,3
495,5
496,3
497,3
498,1
499,4
500,2
501,2
502,1
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
