[Header]
Measurement mode,Live Time
Measurement time,300
Real time,7
Live time,6
Dead time,0
Start Time,2026/04/28 14:57:33
End Time,2026/04/28 14:57:39
//CH#,ADG,THR,LLD,ULD,OFS
CH1,5,1,1,511,0
MOD,0
MMD,1
MTM,300
PDS,1
CursorX,0,0

[Calculation]
//ROI No.,ROI start(ch),ROI end(ch),energy(ch),fitting,peak(ch),centroid(ch),peak(count),gross(count),gross(cps),net(count),net(cps),FWHM(ch),FWHM(%),FWHM(keV),FWTM(ch)
ROI1,315,355,511,1,336,335.35,293.693,7187,1197.863,4652.178,775.363,20.848,6.205,31.707,57.786
ROI1,270,310,511,0,273,285.36,132,2716,452.667,2716,452.667,10.308,3.776,19.294,1.872
ROI0,210,320,1173,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,390,435,1332,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,180,300,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,225,300,2,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,86,191,2,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,376,449,0,0,0,0,0,0,0,0,0,0,0,0,0

[Status]
//CH,throughput count,throughput rate(cps)
CH1,160656,24181

[Data]
//ch,CH1
0,0
1,0
2,760
3,743
4,731
5,720
6,752
7,760
8,797
9,757
10,766
11,729
12,793
13,714
14,754
15,763
16,843
17,821
18,793
19,804
20,840
21,847
22,832
23,750
24,774
25,751
26,806
27,805
28,805
29,815
30,764
31,762
32,835
33,836
34,818
35,834
36,856
37,866
38,864
39,886
40,872
41,851
42,902
43,934
44,949
45,968
46,1014
47,1044
48,1105
49,1160
50,1184
51,1175
52,1182
53,1228
54,1132
55,1107
56,1073
57,1111
58,1098
59,1062
60,1013
61,1035
62,986
63,980
64,970
65,964
66,883
67,914
68,882
69,826
70,809
71,857
72,824
73,836
74,798
75,725
76,806
77,770
78,807
79,753
80,721
81,765
82,734
83,761
84,718
85,724
86,742
87,679
88,641
89,635
90,590
91,539
92,494
93,468
94,414
95,441
96,386
97,395
98,354
99,326
100,313
101,329
102,368
103,325
104,303
105,327
106,324
107,280
108,292
109,330
110,321
111,314
112,333
113,304
114,298
115,339
116,326
117,358
118,355
119,341
120,388
121,419
122,445
123,455
124,489
125,608
126,619
127,693
128,937
129,1048
130,1225
131,1454
132,1683
133,1985
134,2301
135,2498
136,2584
137,2822
138,2922
139,2960
140,2862
141,2673
142,2277
143,2135
144,1850
145,1555
146,1315
147,991
148,752
149,569
150,437
151,341
152,272
153,228
154,190
155,169
156,167
157,158
158,165
159,142
160,126
161,133
162,114
163,142
164,131
165,134
166,133
167,127
168,123
169,118
170,120
171,122
172,122
173,117
174,135
175,136
176,112
177,134
178,128
179,134
180,133
181,134
182,122
183,120
184,130
185,136
186,124
187,134
188,116
189,119
190,141
191,131
192,140
193,138
194,135
195,123
196,118
197,109
198,138
199,113
200,115
201,123
202,127
203,143
204,135
205,119
206,135
207,131
208,128
209,133
210,108
211,142
212,118
213,117
214,118
215,114
216,128
217,131
218,120
219,125
220,122
221,115
222,124
223,135
224,125
225,124
226,127
227,131
228,114
229,121
230,142
231,128
232,147
233,134
234,143
235,128
236,144
237,128
238,137
239,137
240,136
241,151
242,134
243,133
244,111
245,123
246,155
247,145
248,125
249,125
250,129
251,129
252,145
253,134
254,135
255,133
256,151
257,149
258,125
259,129
260,150
261,123
262,127
263,139
264,132
265,152
266,144
267,155
268,128
269,118
270,123
271,117
272,126
273,132
274,116
275,119
276,104
277,85
278,90
279,102
280,73
281,87
282,70
283,67
284,77
285,76
286,65
287,51
288,51
289,61
290,59
291,46
292,55
293,44
294,55
295,37
296,44
297,30
298,50
299,41
300,44
301,38
302,45
303,44
304,31
305,36
306,44
307,41
308,43
309,41
310,56
311,54
312,47
313,61
314,58
315,56
316,74
317,75
318,85
319,90
320,86
321,116
322,112
323,136
324,164
325,139
326,190
327,200
328,218
329,249
330,231
331,233
332,290
333,268
334,270
335,301
336,305
337,274
338,303
339,301
340,290
341,225
342,243
343,204
344,198
345,190
346,187
347,148
348,132
349,125
350,100
351,102
352,89
353,67
354,63
355,58
356,55
357,41
358,33
359,23
360,26
361,34
362,21
363,28
364,27
365,19
366,24
367,18
368,17
369,18
370,19
371,17
372,18
373,13
374,19
375,9
376,14
377,18
378,17
379,12
380,19
381,13
382,22
383,13
384,16
385,12
386,16
387,21
388,16
389,7
390,14
391,18
392,16
393,22
394,12
395,13
396,8
397,15
398,17
399,15
400,15
401,17
402,10
403,13
404,8
405,8
406,14
407,14
408,12
409,10
410,9
411,12
412,12
413,9
414,10
415,6
416,8
417,5
418,12
419,7
420,5
421,6
422,10
423,9
424,7
425,4
426,4
427,9
428,4
429,7
430,5
431,4
432,5
433,3
434,6
435,4
436,2
437,5
438,4
439,5
440,2
441,2
442,3
443,3
444,7
445,9
446,4
447,2
448,6
449,4
450,4
451,9
452,5
453,1
454,4
455,7
456,8
457,9
458,7
459,9
460,7
461,9
462,9
463,7
464,6
465,5
466,3
467,11
468,9
469,12
470,9
471,7
472,11
473,11
474,8
475,21
476,14
477,8
478,10
479,14
480,12
481,10
482,9
483,6
484,6
485,10
486,6
487,8
488,6
489,7
490,4
491,3
492,4
493,5
494,2
495,0
496,0
497,3
498,1
499,0
500,3
501,1
502,1
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
