[Header]
Measurement mode,Live Time
Measurement time,300
Real time,300
Live time,300
Dead time,0
Start Time,2026/04/28 15:23:06
End Time,2026/04/28 15:28:06
//CH#,ADG,THR,LLD,ULD,OFS
CH1,5,5,1,511,0
MOD,0
MMD,1
MTM,300
PDS,1
CursorX,0,0

[Calculation]
//ROI No.,ROI start(ch),ROI end(ch),energy(ch),fitting,peak(ch),centroid(ch),peak(count),gross(count),gross(cps),net(count),net(cps),FWHM(ch),FWHM(%),FWHM(keV),FWTM(ch)
ROI1,22,29,511,1,26,25.5,1702.038,12392,41.305,3821.127,12.737,9.104,35.017,178.938,326.116
ROI1,270,310,511,0,287,288.65,16,372,1.24,3,0.01,20.222,7.046,36.005,33.157
ROI0,210,320,1173,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,390,435,1332,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,180,300,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,225,300,2,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,86,191,2,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,376,449,0,0,0,0,0,0,0,0,0,0,0,0,0

[Status]
//CH,throughput count,throughput rate(cps)
CH1,82828,317

[Data]
//ch,CH1
0,0
1,0
2,0
3,0
4,0
5,88
6,201
7,261
8,271
9,285
10,333
11,354
12,361
13,424
14,514
15,578
16,625
17,736
18,883
19,970
20,1085
21,1311
22,1294
23,1429
24,1634
25,1665
26,1695
27,1619
28,1580
29,1475
30,1588
31,1740
32,2308
33,2985
34,3713
35,3775
36,3325
37,2721
38,2073
39,1627
40,1358
41,1133
42,1002
43,972
44,887
45,856
46,851
47,804
48,807
49,751
50,739
51,730
52,712
53,669
54,690
55,619
56,639
57,594
58,570
59,606
60,536
61,512
62,489
63,492
64,447
65,463
66,407
67,363
68,360
69,361
70,315
71,308
72,318
73,294
74,300
75,267
76,265
77,249
78,275
79,220
80,226
81,259
82,194
83,193
84,212
85,198
86,187
87,181
88,190
89,174
90,166
91,169
92,152
93,151
94,152
95,133
96,145
97,126
98,132
99,119
100,126
101,150
102,117
103,122
104,98
105,117
106,118
107,102
108,92
109,132
110,92
111,91
112,75
113,93
114,88
115,104
116,85
117,77
118,82
119,72
120,78
121,75
122,80
123,90
124,70
125,63
126,67
127,72
128,67
129,66
130,66
131,71
132,79
133,78
134,93
135,68
136,83
137,74
138,93
139,84
140,85
141,74
142,77
143,70
144,66
145,56
146,53
147,43
148,52
149,42
150,44
151,41
152,34
153,41
154,33
155,41
156,49
157,39
158,47
159,44
160,34
161,42
162,30
163,46
164,38
165,43
166,44
167,46
168,50
169,54
170,50
171,56
172,63
173,53
174,83
175,68
176,80
177,69
178,81
179,72
180,73
181,58
182,53
183,44
184,43
185,35
186,24
187,31
188,27
189,22
190,21
191,33
192,30
193,13
194,19
195,18
196,13
197,21
198,20
199,20
200,25
201,14
202,16
203,17
204,21
205,13
206,20
207,16
208,21
209,14
210,16
211,18
212,14
213,17
214,11
215,9
216,10
217,15
218,20
219,22
220,24
221,13
222,14
223,10
224,16
225,19
226,10
227,9
228,10
229,9
230,13
231,6
232,11
233,17
234,13
235,11
236,12
237,14
238,13
239,13
240,13
241,12
242,14
243,12
244,19
245,10
246,13
247,14
248,9
249,13
250,9
251,17
252,14
253,15
254,7
255,10
256,7
257,17
258,20
259,9
260,10
261,12
262,15
263,12
264,14
265,10
266,14
267,10
268,9
269,10
270,13
271,8
272,15
273,8
274,10
275,11
276,9
277,10
278,12
279,5
280,11
281,8
282,7
283,11
284,12
285,10
286,12
287,16
288,9
289,10
290,3
291,8
292,14
293,7
294,9
295,5
296,11
297,6
298,7
299,8
300,3
301,12
302,10
303,5
304,10
305,8
306,12
307,6
308,6
309,6
310,9
311,8
312,10
313,6
314,7
315,12
316,11
317,6
318,8
319,10
320,8
321,7
322,7
323,5
324,11
325,3
326,9
327,6
328,10
329,10
330,11
331,6
332,11
333,12
334,13
335,9
336,9
337,7
338,9
339,8
340,14
341,4
342,7
343,7
344,5
345,6
346,7
347,5
348,6
349,8
350,11
351,10
352,7
353,4
354,4
355,6
356,6
357,5
358,5
359,5
360,4
361,7
362,3
363,5
364,5
365,7
366,2
367,2
368,3
369,7
370,8
371,4
372,5
373,7
374,7
375,10
376,7
377,6
378,11
379,0
380,12
381,10
382,8
383,12
384,11
385,11
386,7
387,9
388,12
389,9
390,7
391,3
392,6
393,7
394,7
395,7
396,4
397,2
398,0
399,3
400,3
401,4
402,3
403,3
404,2
405,4
406,1
407,0
408,0
409,2
410,1
411,0
412,0
413,5
414,1
415,5
416,0
417,3
418,3
419,1
420,3
421,1
422,2
423,1
424,2
425,1
426,3
427,5
428,0
429,3
430,3
431,1
432,0
433,0
434,1
435,1
436,1
437,0
438,1
439,1
440,0
441,0
442,3
443,2
444,2
445,3
446,1
447,2
448,1
449,3
450,2
451,0
452,0
453,1
454,0
455,0
456,1
457,2
458,1
459,1
460,1
461,2
462,1
463,1
464,0
465,1
466,2
467,0
468,1
469,1
470,1
471,0
472,2
473,0
474,0
475,0
476,0
477,2
478,2
479,2
480,0
481,0
482,1
483,2
484,0
485,2
486,0
487,1
488,3
489,1
490,0
491,2
492,2
493,0
494,2
495,1
496,1
497,2
498,1
499,0
500,0
501,1
502,1
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
