[Header]
Measurement mode,Live Time
Measurement time,300
Real time,159
Live time,159
Dead time,1
Start Time,2026/04/28 15:35:59
End Time,2026/04/28 15:38:49
//CH#,ADG,THR,LLD,ULD,OFS
CH1,5,33,1,511,0
MOD,0
MMD,1
MTM,300
PDS,1
CursorX,0,0

[Calculation]
//ROI No.,ROI start(ch),ROI end(ch),energy(ch),fitting,peak(ch),centroid(ch),peak(count),gross(count),gross(cps),net(count),net(cps),FWHM(ch),FWHM(%),FWHM(keV),FWTM(ch)
ROI1,335,368,511,1,350,350.39,1364.591,30605,192.484,18185.556,114.375,21.713,6.204,31.7,57.774
ROI1,392,418,511,0,393,404.39,28,503,3.164,503,3.164,1,0.254,1.3,1.3
ROI0,210,320,1173,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,390,435,1332,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,180,300,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,225,300,2,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,86,191,2,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,376,449,0,0,0,0,0,0,0,0,0,0,0,0,0

[Status]
//CH,throughput count,throughput rate(cps)
CH1,372981,2315

[Data]
//ch,CH1
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,157
27,163
28,179
29,186
30,200
31,220
32,223
33,1219
34,1201
35,1444
36,1570
37,1555
38,1522
39,1523
40,1635
41,1654
42,1659
43,1604
44,1608
45,1779
46,1738
47,1727
48,1650
49,1751
50,1693
51,1692
52,1786
53,1759
54,1831
55,1881
56,1884
57,2001
58,2052
59,2141
60,2188
61,2325
62,2313
63,2181
64,2167
65,2261
66,2110
67,1993
68,1926
69,1988
70,1901
71,1929
72,1773
73,1756
74,1728
75,1697
76,1670
77,1636
78,1658
79,1588
80,1566
81,1518
82,1475
83,1503
84,1461
85,1486
86,1396
87,1383
88,1440
89,1361
90,1238
91,1294
92,1287
93,1218
94,1222
95,1176
96,1130
97,1209
98,1165
99,1149
100,1114
101,1171
102,1152
103,1139
104,1087
105,1077
106,1070
107,1047
108,1082
109,1077
110,1082
111,1009
112,1051
113,1000
114,1031
115,999
116,1092
117,1023
118,987
119,1005
120,991
121,927
122,1052
123,968
124,956
125,979
126,963
127,971
128,959
129,1003
130,950
131,951
132,973
133,949
134,965
135,938
136,989
137,958
138,906
139,952
140,922
141,918
142,961
143,950
144,891
145,909
146,932
147,949
148,927
149,953
150,896
151,900
152,911
153,880
154,892
155,908
156,919
157,888
158,924
159,903
160,873
161,922
162,911
163,897
164,950
165,906
166,885
167,982
168,868
169,929
170,920
171,926
172,900
