[Header]
Measurement mode,Live Time
Measurement time,300
Real time,198
Live time,197
Dead time,1
Start Time,2026/04/28 16:24:14
End Time,2026/04/28 16:27:32
//CH#,ADG,THR,LLD,ULD,OFS
CH1,5,33,1,511,0
MOD,0
MMD,1
MTM,300
PDS,1
CursorX,0,0

[Calculation]
//ROI No.,ROI start(ch),ROI end(ch),energy(ch),fitting,peak(ch),centroid(ch),peak(count),gross(count),gross(cps),net(count),net(cps),FWHM(ch),FWHM(%),FWHM(keV),FWTM(ch)
ROI1,164,184,511,1,174,173.95,1342.849,27410,139.137,2989.524,15.175,6.39,3.673,18.767,34.204
ROI1,392,418,511,0,400,404.85,35,749,3.802,749,3.802,5.708,1.427,7.292,10.644
ROI0,210,320,1173,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,390,435,1332,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,180,300,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,225,300,2,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,86,191,2,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,376,449,0,0,0,0,0,0,0,0,0,0,0,0,0

[Status]
//CH,throughput count,throughput rate(cps)
CH1,512374,2647

[Data]
//ch,CH1
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1665
34,1477
35,1726
36,2071
37,2088
38,2070
39,2022
40,2123
41,2360
42,2148
43,2225
44,2174
45,2240
46,2282
47,2162
48,2259
49,2291
50,2353
51,2301
52,2370
53,2346
54,2514
55,2531
56,2576
57,2846
58,2891
59,3053
60,3129
61,3266
62,3163
63,3117
64,3093
65,2931
66,2940
67,2841
68,2737
69,2609
70,2551
71,2552
72,2413
73,2399
74,2320
75,2232
76,2358
77,2195
78,2088
79,2157
80,2128
81,2056
82,2064
83,1981
84,1969
85,1883
86,1928
87,1862
88,1849
89,1858
90,1758
91,1712
92,1700
93,1641
94,1725
95,1708
96,1645
97,1556
98,1596
99,1672
100,1627
101,1539
102,1609
103,1541
104,1494
105,1604
106,1468
107,1503
108,1494
109,1443
110,1504
111,1496
112,1484
113,1340
114,1442
115,1443
116,1446
117,1400
118,1390
119,1381
120,1388
121,1390
122,1378
123,1353
124,1307
125,1369
126,1381
127,1363
128,1366
129,1332
130,1330
131,1348
132,1319
133,1348
134,1373
135,1329
136,1380
137,1317
138,1330
139,1361
140,1320
141,1388
142,1382
143,1317
144,1323
145,1297
146,1303
147,1250
148,1304
149,1296
150,1261
151,1281
152,1332
153,1290
154,1231
155,1305
156,1263
157,1333
158,1325
159,1325
160,1272
161,1315
162,1250
163,1268
164,1289
165,1304
166,1351
167,1230
168,1235
169,1289
170,1328
171,1357
172,1280
173,1313
174,1379
175,1339
176,1332
177,1320
178,1283
179,1296
180,1341
181,1305
182,1237
183,1288
184,1314
185,1304
186,1329
187,1344
188,1281
189,1326
190,1315
191,1266
192,1289
193,1312
194,1383
195,1298
196,1367
197,1308
198,1350
199,1376
200,1297
201,1407
202,1419
203,1472
204,1426
205,1361
206,1299
207,1417
208,1383
209,1426
210,1446
211,1439
212,1332
213,1469
214,1420
215,1474
216,1443
217,1443
218,1524
219,1536
220,1504
221,1498
222,1524
223,1471
224,1501
225,1493
226,1442
227,1548
228,1540
229,1445
230,1607
231,1597
232,1565
233,1605
234,1622
235,1597
236,1570
237,1592
238,1576
239,1543
240,1540
241,1567
242,1579
243,1505
244,1466
245,1455
246,1402
247,1366
248,1346
249,1281
250,1259
251,1221
252,1278
253,1162
254,1197
255,1110
256,1096
257,1071
258,1111
259,1082
260,1090
261,1072
262,998
263,994
264,981
265,999
266,1020
267,990
268,1043
269,976
270,936
271,1004
272,981
273,1012
274,1032
275,995
276,1004
277,965
278,967
279,933
280,936
281,905
282,910
283,919
284,922
285,928
286,929
287,985
288,995
289,1033
290,1079
291,1104
292,1227
293,1320
294,1427
295,1671
296,1680
297,1838
298,1931
299,2043
300,2207
301,2427
302,2523
303,2574
304,2531
305,2642
306,2623
307,2561
308,2497
309,2228
310,2226
311,2094
312,1928
313,1810
314,1564
315,1400
316,1333
317,1085
318,977
319,845
320,766
321,675
322,618
323,571
324,592
325,553
326,514
327,550
328,576
329,559
330,603
331,671
332,773
333,854
334,922
335,1082
336,1137
337,1325
338,1416
339,1447
340,1676
341,1786
342,1845
343,1862
344,1836
345,1935
346,1978
347,1951
348,1794
349,1765
350,1717
351,1595
352,1498
353,1318
354,1288
355,1048
356,1048
357,926
358,819
359,698
360,590
361,512
362,457
363,381
364,338
365,262
366,260
367,234
368,178
369,152
370,169
371,115
372,115
373,106
374,87
375,81
376,57
377,61
378,57
379,61
380,51
381,46
382,47
383,23
384,36
385,33
386,29
387,38
388,37
389,40
390,32
391,35
392,33
393,29
394,23
395,27
396,34
397,19
398,30
399,29
400,35
401,27
402,28
403,28
404,24
405,34
406,28
407,21
408,26
409,24
410,27
411,33
412,22
413,30
414,30
415,28
416,29
417,23
418,28
419,27
420,16
421,22
422,27
423,26
424,35
425,24
426,23
427,28
428,25
429,22
430,34
431,27
432,25
433,22
434,12
435,20
436,27
437,23
438,23
439,23
440,24
441,18
442,20
443,19
444,24
445,25
446,25
447,16
448,22
449,17
450,21
451,34
452,16
453,19
454,22
455,19
456,16
457,28
458,15
459,16
460,20
461,18
462,16
463,25
464,24
465,18
466,15
467,19
468,19
469,20
470,19
471,15
472,20
473,21
474,30
475,21
476,15
477,14
478,21
479,16
480,15
481,17
482,13
483,18
484,18
485,23
486,14
487,17
488,13
489,15
490,12
491,20
492,22
493,15
494,9
495,19
496,18
