[Header]
Measurement mode,Live Time
Measurement time,300
Real time,300
Live time,300
Dead time,0
Start Time,2026/05/20 16:25:04
End Time,2026/05/20 16:30:04
//CH#,ADG,THR,LLD,ULD,OFS
CH1,5,17,0,511,0
MOD,0
MMD,1
MTM,300
PDS,1
CursorX,0,0

[Calculation]
//ROI No.,ROI start(ch),ROI end(ch),energy(ch),fitting,peak(ch),centroid(ch),peak(count),gross(count),gross(cps),net(count),net(cps),FWHM(ch),FWHM(%),FWHM(keV),FWTM(ch)
ROI1,141,227,511,1,187,185.71,20.345,1112,3.707,860.544,2.868,63.788,34.111,174.307,317.676
ROI0,391,64,511,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,210,320,1173,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,390,435,1332,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,180,300,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,225,300,2,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,86,191,2,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,376,449,0,0,0,0,0,0,0,0,0,0,0,0,0

[Status]
//CH,throughput count,throughput rate(cps)
CH1,2452,12

[Data]
//ch,CH1
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,1
46,1
47,0
48,0
49,0
50,1
51,0
52,2
53,1
54,2
55,2
56,1
57,0
58,3
59,3
60,3
61,1
62,3
63,2
64,4
65,3
66,2
67,1
68,1
69,0
70,2
71,1
72,0
73,1
74,0
75,2
76,0
77,2
78,2
79,3
80,1
81,0
82,3
83,3
84,1
85,2
86,2
87,2
88,2
89,1
90,4
91,2
92,3
93,1
94,2
95,2
96,0
97,3
98,2
99,1
100,1
101,4
102,6
103,3
104,2
105,0
106,3
107,1
108,3
109,3
110,0
111,3
112,2
113,3
114,3
115,1
116,1
117,3
118,2
119,4
120,2
121,2
122,1
123,2
124,5
125,4
126,0
127,5
128,0
129,1
130,4
131,2
132,2
133,4
134,3
135,3
136,4
137,1
138,1
139,7
140,3
141,2
142,4
143,4
144,1
145,2
146,3
147,3
148,4
149,3
150,6
151,8
152,4
153,6
154,7
155,11
156,10
157,14
158,2
159,21
160,7
161,10
162,5
163,23
164,15
165,17
166,10
167,16
168,10
169,13
170,21
171,7
172,18
173,21
174,23
175,21
176,14
177,8
178,19
179,23
180,23
181,25
182,19
183,18
184,21
185,20
186,14
187,31
188,23
189,20
190,18
191,23
192,17
193,22
194,22
195,11
196,20
197,18
198,17
199,13
200,16
201,17
202,16
203,14
204,17
205,14
206,21
207,17
208,12
209,12
210,15
211,9
212,12
213,11
214,11
215,9
216,14
217,5
218,7
219,6
220,8
221,9
222,6
223,7
224,4
225,6
226,2
227,4
228,2
229,1
230,2
231,3
232,5
233,1
234,2
235,2
236,2
237,2
238,1
239,2
240,0
241,0
242,1
243,0
244,0
245,1
246,2
247,0
248,1
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,1
257,0
258,0
259,0
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,1
268,0
269,0
270,0
271,1
272,0
273,0
274,0
275,0
276,0
277,1
278,1
279,7
280,24
281,28
282,35
283,23
284,23
285,27
286,29
287,23
288,32
289,38
290,22
291,24
292,37
293,32
294,24
295,22
296,37
297,25
298,27
299,30
300,38
301,15
302,26
303,30
304,24
305,25
306,22
307,32
308,20
309,19
310,28
311,38
312,19
313,18
314,21
315,20
316,18
317,15
318,13
319,21
320,15
321,13
322,10
323,11
324,11
325,7
326,6
327,4
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,1
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
