[Header]
Measurement mode,Live Time
Measurement time,300
Real time,186
Live time,186
Dead time,0
Start Time,2026/05/13 17:39:00
End Time,2026/05/13 17:42:06
//CH#,ADG,THR,LLD,ULD,OFS
CH1,5,17,0,511,0
MOD,0
MMD,1
MTM,300
PDS,1
CursorX,0,0

[Calculation]
//ROI No.,ROI start(ch),ROI end(ch),energy(ch),fitting,peak(ch),centroid(ch),peak(count),gross(count),gross(cps),net(count),net(cps),FWHM(ch),FWHM(%),FWHM(keV),FWTM(ch)
ROI1,171,188,511,1,179,179.34,117.747,895,4.813,779.238,4.189,6.739,3.765,19.237,35.06
ROI1,103,326,511,0,179,182.06,122,980,5.269,868,4.667,6.914,3.862,19.737,39.895
ROI0,210,320,1173,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,390,435,1332,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,180,300,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,225,300,2,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,86,191,2,0,0,0,0,0,0,0,0,0,0,0,0
ROI0,376,449,0,0,0,0,0,0,0,0,0,0,0,0,0

[Status]
//CH,throughput count,throughput rate(cps)
CH1,1093,4

[Data]
//ch,CH1
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,2
24,0
25,0
26,0
27,0
28,0
29,0
30,2
31,0
32,0
33,0
34,1
35,1
36,0
37,1
38,0
39,0
40,1
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,2
64,2
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,1
78,0
79,0
80,0
81,1
82,2
83,0
84,0
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,1
100,0
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,0
115,0
116,1
117,0
118,0
119,0
120,1
121,1
122,1
123,0
124,0
125,0
126,0
127,0
128,2
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,1
137,1
138,0
139,0
140,1
141,0
142,0
143,0
144,1
145,0
146,1
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,1
156,2
157,0
158,0
159,0
160,0
161,0
162,1
163,1
164,1
165,2
166,0
167,0
168,2
169,3
170,3
171,4
172,16
173,15
174,18
175,35
176,70
177,92
178,99
179,122
180,120
181,90
182,71
183,61
184,39
185,21
186,9
187,8
188,5
189,1
190,0
191,4
192,1
193,0
194,1
195,0
196,1
197,0
198,1
199,1
200,1
201,0
202,1
203,0
204,0
205,2
206,0
207,2
208,0
209,0
210,1
211,1
212,2
213,0
214,0
215,1
216,0
217,1
218,0
219,0
220,1
221,0
222,0
223,0
224,0
225,1
226,1
227,0
228,0
229,0
230,0
231,0
232,1
233,1
234,0
235,0
236,1
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,1
246,2
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,2
258,1
259,0
260,3
261,1
262,0
263,1
264,0
265,0
266,0
267,1
268,0
269,0
270,0
271,1
272,1
273,1
274,0
275,0
276,1
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,1
292,1
293,1
294,0
295,0
296,2
297,0
298,0
299,0
300,0
301,2
302,0
303,0
304,1
305,0
306,1
307,0
308,0
309,0
310,0
311,0
312,1
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,1
326,1
327,1
328,0
329,2
330,1
331,0
332,2
333,0
334,1
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,2
344,0
345,0
346,0
347,1
348,0
349,2
350,1
351,1
352,2
353,2
354,0
355,1
356,0
357,0
358,0
359,0
360,0
361,1
362,1
363,0
364,1
365,0
366,0
367,1
368,0
369,0
370,0
371,1
372,1
373,0
374,0
375,0
376,0
377,0
378,0
379,1
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,1
391,0
392,1
393,1
394,0
395,3
396,1
397,0
398,0
399,1
400,1
401,0
402,0
403,1
404,2
405,1
406,1
407,0
408,0
409,0
410,1
411,0
412,0
413,1
414,0
415,0
416,0
417,2
418,0
419,0
420,1
421,1
422,0
423,1
424,0
425,0
426,1
427,0
428,1
429,2
430,0
431,1
432,0
433,0
434,0
435,1
436,0
437,1
438,1
439,0
440,1
441,0
442,0
443,0
444,0
445,0
446,0
447,1
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,1
458,0
459,0
460,0
461,0
462,0
463,1
464,0
465,0
466,0
467,0
468,1
469,0
470,1
471,1
472,0
473,0
474,2
475,0
476,1
477,0
478,0
479,0
480,1
481,1
482,0
483,2
484,0
485,0
486,1
487,0
488,1
489,3
490,1
491,0
492,1
493,1
494,0
495,0
496,0
497,0
498,3
499,1
500,1
501,0
502,2
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
